time,temperature,pressure,gas,pm25,aqi
237,22.26,1006.52,432,57.23,151.18
239,22.35,1006.47,407,50.98,139.95
241,22.43,1006.42,397,56.69,150.89
243,22.51,1006.45,368,49.06,135.16
245,22.59,1006.43,379,50.13,137.82
247,22.66,1006.48,368,52.62,144.06
250,22.74,1006.44,346,54.77,149.42
252,22.81,1006.48,335,57.17,151.14
254,22.87,1006.45,326,53.82,147.04
256,22.92,1006.47,325,57.83,151.49
258,22.96,1006.47,322,46.95,129.88
260,23.02,1006.47,314,51.9,142.25
262,23.08,1006.46,303,54.17,147.93
264,23.16,1006.46,313,51.71,141.76
266,23.26,1006.48,310,51.58,141.44
268,23.36,1006.47,316,57.96,151.56
271,23.46,1006.47,320,58.52,151.85
273,23.58,1006.46,309,54.88,149.7
275,23.69,1006.48,306,51.64,141.6
277,23.8,1006.5,320,55.67,150.35
279,23.9,1006.45,315,55.32,150.17
281,24,1006.47,322,50.82,139.55
283,24.1,1006.46,320,55.83,150.44
285,24.19,1006.47,308,54.2,148.01
287,24.27,1006.48,317,56.07,150.56
289,24.35,1006.47,315,55.54,150.28
292,24.43,1006.46,301,55.04,150.02
294,24.51,1006.48,297,55.07,150.04
296,24.58,1006.47,308,51.88,142.21
298,24.65,1006.47,299,54.93,149.82
300,24.71,1006.47,301,58.1,151.63
302,24.77,1006.48,298,55.88,150.46
304,24.84,1006.45,304,55.49,150.26
306,24.89,1006.44,291,61.04,153.18
308,24.94,1006.47,304,57.85,151.5
311,25,1006.46,294,51.67,141.68
313,25.05,1006.48,299,55.03,150.01
315,25.1,1006.48,294,55.91,150.48
317,25.14,1006.51,304,57.41,151.27
319,25.19,1006.49,293,58.1,151.63
321,25.24,1006.46,305,59.43,152.33
323,25.29,1006.48,309,59.91,152.58
325,25.33,1006.51,302,61.49,153.42
327,25.37,1006.5,301,55.78,150.41
329,25.42,1006.52,294,54.06,147.65
332,25.45,1006.46,298,56.01,150.53
334,25.5,1006.49,303,55.48,150.25
336,25.53,1006.49,298,59.49,152.36
338,25.55,1006.55,286,58.6,151.9
340,25.53,1006.58,292,59.57,152.41
342,25.51,1006.58,275,57.8,151.47
344,25.5,1006.61,272,57.56,151.35
346,25.48,1006.57,274,54.95,149.86
348,25.46,1006.59,279,58.94,152.07
350,25.43,1006.58,286,56.14,150.6
353,25.42,1006.61,287,54.99,149.98
355,25.4,1006.57,306,60.88,153.09
357,25.4,1006.58,286,59.31,152.27
359,25.41,1006.58,283,56.41,150.74
361,25.43,1006.56,290,64.66,155.09
363,25.45,1006.6,293,57.67,151.4
365,25.46,1006.59,304,65.82,155.7
367,25.46,1006.57,304,58.64,151.91
369,25.48,1006.6,315,57.07,151.09
371,25.5,1006.58,305,59.02,152.12
374,25.52,1006.58,320,56.48,150.78
376,25.53,1006.55,299,55.17,150.09
378,25.55,1006.53,305,60.38,152.83
380,25.56,1006.58,313,62.94,154.18
382,25.53,1006.56,314,55.61,150.32
384,25.44,1006.56,322,60.7,153
386,25.31,1006.59,320,58.86,152.03
388,25.19,1006.56,314,55.72,150.38
390,25.05,1006.6,318,52.06,142.65
392,24.9,1006.62,318,55.98,150.51
395,24.75,1006.53,321,55.27,150.14
397,24.57,1006.53,317,52.54,143.86
399,24.38,1006.59,311,52.59,143.98
401,24.22,1006.57,316,52.62,144.06
403,24.09,1006.57,320,57.94,151.55
405,23.94,1006.57,320,54.64,149.1
407,23.82,1006.61,333,53.11,145.27
409,23.65,1006.59,321,56.04,150.55
411,23.54,1006.59,325,57.22,151.17
414,23.43,1006.58,334,54.49,148.73
416,23.33,1006.58,323,52.67,144.18
418,23.22,1006.59,320,54.93,149.82
420,23.11,1006.57,314,52.16,142.89
422,23.02,1006.52,320,53.69,146.72
424,22.89,1006.6,320,50.17,137.94
426,22.82,1006.54,311,52.7,144.26
428,22.72,1006.58,320,51.4,141
430,22.62,1006.6,325,55.44,150.23
432,22.54,1006.58,321,73.38,159.68
435,22.48,1006.59,319,51.33,140.84
437,22.4,1006.57,320,50.59,138.98
439,22.33,1006.6,306,52.62,144.06
441,22.25,1006.61,314,53.08,145.19
443,22.15,1006.6,305,54.53,148.82
445,22.08,1006.63,305,55.75,150.4
447,22,1006.64,304,60.04,152.65
449,21.97,1006.59,310,57.04,151.07
451,21.93,1006.59,310,56.49,150.79
453,21.91,1006.65,299,54.28,148.21
456,21.89,1006.62,298,56.41,150.74
458,21.87,1006.61,307,54.07,147.69
460,21.82,1006.62,304,57.17,151.14
462,21.8,1006.62,305,48.85,134.63
464,21.77,1006.61,304,55.86,150.45
466,21.74,1006.57,315,56.19,150.62
468,21.7,1006.65,306,54.28,148.21
470,21.65,1006.6,314,55.41,150.22
472,21.6,1006.64,300,53.91,147.28
474,21.54,1006.61,307,50.03,137.57
477,21.53,1006.63,311,53.09,145.23
479,21.49,1006.61,305,53.45,146.12
481,21.47,1006.61,312,52.37,143.42
483,21.42,1006.61,309,49.11,135.28
485,21.38,1006.6,304,59.18,152.2
487,21.37,1006.57,301,53.37,145.91
489,21.39,1006.59,304,55.35,150.18
491,21.35,1006.62,306,51.14,140.35
493,21.32,1006.56,299,53.56,146.4
495,21.28,1006.59,304,47.24,130.6
498,21.27,1006.59,301,53.95,147.36
500,21.25,1006.58,304,51.33,140.84
502,21.24,1006.59,304,51.82,142.05
504,21.23,1006.58,301,51.61,141.52
506,21.21,1006.6,293,54.48,148.69
508,21.18,1006.61,302,53.58,146.44
510,21.17,1006.63,295,55.28,150.15
512,21.13,1006.61,303,51.17,140.43
514,21.13,1006.62,304,51.14,140.35
517,21.1,1006.65,304,55.59,150.31
519,21.07,1006.6,303,53.99,147.49
521,21.04,1006.65,306,52.12,142.81
523,21.03,1006.63,312,50.19,137.98
525,21.01,1006.62,304,50.95,139.87
527,20.99,1006.66,307,54.38,148.45
529,20.98,1006.65,318,52.08,142.69
531,20.97,1006.63,309,50.71,139.27
533,20.93,1006.64,304,52.85,144.62
535,20.91,1006.62,320,56.52,150.8
538,20.88,1006.64,311,51.95,142.37
540,20.84,1006.63,304,49.42,136.04
542,20.81,1006.64,304,52.64,144.1
544,20.78,1006.6,306,54.35,148.37
546,20.77,1006.64,304,54.82,149.54
548,20.77,1006.65,303,52.5,143.74
550,20.77,1006.66,304,54.38,148.45
552,20.75,1006.67,302,55.24,150.12
554,20.71,1006.62,313,53.37,145.91
556,20.7,1006.65,311,51.82,142.05
559,20.7,1006.66,297,51.11,140.27
561,20.72,1006.65,293,48.48,133.71
563,20.75,1006.63,299,54.48,148.69
565,20.72,1006.63,295,49.84,137.09
567,20.72,1006.65,290,51.25,140.64
569,20.71,1006.62,295,50.05,137.61
571,20.69,1006.62,298,54.25,148.13
573,20.66,1006.64,304,50.85,139.63
575,20.66,1006.67,304,49.8,137.01
577,20.64,1006.62,297,57.59,151.36
580,20.61,1006.63,299,54.62,149.06
582,20.61,1006.6,304,52.08,142.69
584,20.62,1006.63,304,53.27,145.67
586,20.61,1006.58,315,51.9,142.25
588,20.57,1006.61,314,53.06,145.15
590,20.57,1006.62,304,51.56,141.4
592,20.54,1006.63,295,51.66,141.64
594,20.54,1006.59,303,53.56,146.4
596,20.51,1006.59,306,52.43,143.58
598,20.48,1006.63,305,51.09,140.23
601,20.45,1006.6,286,54.86,149.66
603,20.45,1006.61,291,53.61,146.52
605,20.44,1006.63,299,52.11,142.77
607,20.41,1006.63,295,51.3,140.76
609,20.4,1006.64,298,49.42,136.04
611,20.37,1006.66,293,52.99,144.99
613,20.34,1006.68,297,52.93,144.83
615,20.31,1006.61,302,48.56,133.91
617,20.28,1006.63,295,53.62,146.56
620,20.28,1006.61,299,55.38,150.2
622,20.27,1006.61,294,55.22,150.12
624,20.27,1006.58,304,52.4,143.5
626,20.27,1006.58,289,52.75,144.38
628,20.28,1006.63,294,51.42,141.04
630,20.29,1006.59,306,49.29,135.72
632,20.29,1006.66,286,49.14,135.36
634,20.32,1006.6,304,53.06,145.15
636,20.32,1006.6,300,52.45,143.62
638,20.29,1006.65,302,50.63,139.06
641,20.29,1006.62,295,50.67,139.18
643,20.26,1006.62,287,55.96,150.51
645,20.26,1006.62,283,54.22,148.05
647,20.25,1006.64,291,50.69,139.23
649,20.23,1006.64,294,54.09,147.73
651,20.2,1006.66,303,51.69,141.72
653,20.22,1006.67,295,53.7,146.76
655,20.21,1006.68,299,54.9,149.74
657,20.2,1006.63,298,52.12,142.81
659,20.2,1006.63,298,50.48,138.7
662,20.19,1006.65,298,52.87,144.66
664,20.18,1006.64,304,53.75,146.88
666,20.17,1006.64,299,55.32,150.17
668,20.15,1006.62,289,54.24,148.09
670,20.12,1006.64,302,53.67,146.68
672,20.09,1006.62,307,53.7,146.76
674,20.08,1006.64,308,53.66,146.64
676,20.04,1006.63,303,48.26,133.14
678,20.03,1006.61,301,52.08,142.69
680,20.01,1006.66,304,51.67,141.68
683,20,1006.67,308,54.16,147.89
685,19.98,1006.61,300,51.08,140.19
687,19.97,1006.57,304,49.58,136.45
689,19.95,1006.63,304,53.32,145.79
691,19.92,1006.62,298,53.28,145.71
693,19.91,1006.66,299,51.09,140.23
695,19.89,1006.64,289,53.87,147.16
697,19.89,1006.62,304,48.64,134.11
699,19.88,1006.59,299,51.01,140.03
701,19.89,1006.62,302,55.51,150.27
704,19.86,1006.64,302,51.14,140.35
706,19.84,1006.66,298,50.38,138.46
708,19.82,1006.62,299,53.04,145.11
710,19.79,1006.64,296,48.53,133.83
712,19.77,1006.64,293,56.9,151
714,19.76,1006.65,298,48.87,134.67
716,19.73,1006.63,301,47.89,132.21
718,19.73,1006.61,294,53.58,146.44
720,19.73,1006.62,295,49.51,136.28
723,19.75,1006.6,303,49.45,136.12
725,19.75,1006.62,301,48.13,132.82
727,19.74,1006.65,301,52.41,143.54
729,19.73,1006.66,300,50.46,138.66
731,19.72,1006.64,304,59.17,152.19
733,19.7,1006.64,298,52.67,144.18
735,19.69,1006.64,293,48.35,133.38
737,19.7,1006.64,286,53.06,145.15
739,19.67,1006.6,293,53.41,146.03
741,19.65,1006.63,298,47.34,130.84
744,19.62,1006.61,295,51.51,141.28
746,19.64,1006.66,304,52.29,143.21
748,19.61,1006.63,300,52.62,144.06
750,19.59,1006.67,291,53.24,145.59
752,19.6,1006.63,294,52.72,144.3
754,19.56,1006.64,292,50.51,138.78
756,19.55,1006.64,300,48.9,134.75
758,19.54,1006.67,299,55.3,150.16
760,19.53,1006.64,294,52.75,144.38
762,19.52,1006.67,293,52.12,142.81
765,19.52,1006.61,297,48.56,133.91
767,19.51,1006.67,294,50.53,138.82
769,19.51,1006.59,295,49.85,137.13
771,19.5,1006.68,293,49.63,136.57
773,19.51,1006.68,285,49.72,136.81
775,19.52,1006.65,298,56.69,150.89
777,19.54,1006.62,301,56.62,150.85
779,19.53,1006.71,292,48.13,132.82
781,19.53,1006.66,303,54.33,148.33
783,19.54,1006.62,304,51.5,141.24
786,19.55,1006.64,294,51.11,140.27
788,19.56,1006.64,293,49.42,136.04
790,19.55,1006.66,285,52.61,144.02
792,19.54,1006.68,273,52.61,144.02
794,19.54,1006.65,280,50.96,139.91
796,19.52,1006.63,284,54.24,148.09
798,19.52,1006.68,284,53.2,145.51
800,19.51,1006.63,283,52.01,142.53
802,19.51,1006.65,286,53.74,146.84
804,19.52,1006.67,293,54.45,148.61
807,19.5,1006.68,304,50.87,139.67
809,19.45,1006.69,301,50.38,138.46
811,19.44,1006.68,285,53.06,145.15
813,19.42,1006.67,288,55.11,150.06
815,19.4,1006.64,288,51.53,141.32
817,19.4,1006.63,294,49.67,136.69
819,19.39,1006.66,304,50.4,138.5
821,19.38,1006.67,300,50.16,137.9
823,19.35,1006.68,299,52.66,144.14
826,19.32,1006.65,285,52.22,143.05
828,19.34,1006.61,286,55.07,150.04
830,19.33,1006.64,289,58.33,151.75
832,19.34,1006.63,303,51.32,140.8
834,19.33,1006.65,282,53.77,146.92
836,19.33,1006.69,277,47.19,130.48
838,19.33,1006.64,285,50.71,139.27
840,19.33,1006.64,291,49.48,136.2
842,19.32,1006.64,288,49.42,136.04
844,19.32,1006.63,307,50.67,139.18
847,19.3,1006.65,292,48.8,134.51
849,19.29,1006.66,298,51.43,141.08
851,19.28,1006.65,294,49.87,137.17
853,19.26,1006.63,297,51.13,140.31
855,19.26,1006.65,290,52.61,144.02
857,19.25,1006.67,294,50.61,139.02
859,19.23,1006.66,283,53.7,146.76
861,19.23,1006.65,279,51.61,141.52
863,19.23,1006.66,287,50.08,137.69
865,19.21,1006.65,277,48.5,133.75
868,19.21,1006.65,285,52.04,142.61
870,19.24,1006.64,285,53.46,146.16
872,19.25,1006.67,293,54.4,148.49
874,19.26,1006.64,289,53.17,145.43
876,19.25,1006.65,288,56.98,151.04
878,19.28,1006.68,302,50.93,139.83
880,19.26,1006.68,279,50.84,139.59
882,19.23,1006.64,294,48.08,132.7
884,19.24,1006.65,282,48.68,134.19
886,19.22,1006.64,293,48.88,134.71
889,19.22,1006.67,279,53.28,145.71
891,19.19,1006.65,285,48.24,133.1
893,19.19,1006.64,283,48.97,134.91
895,19.18,1006.63,289,53.67,146.68
897,19.18,1006.61,294,46.08,127.7
899,19.18,1006.63,298,49.66,136.65
901,19.19,1006.62,284,52.45,143.62
903,19.2,1006.64,299,52.33,143.34
905,19.19,1006.69,272,52.16,142.89
907,19.19,1006.64,297,45.52,126.29
910,19.17,1006.66,279,49.03,135.08
912,19.18,1006.67,286,53.33,145.83
914,19.19,1006.63,278,53.49,146.24
916,19.17,1006.65,282,50.66,139.14
918,19.19,1006.62,295,53.11,145.27
920,19.18,1006.68,289,53.82,147.04
922,19.15,1006.64,295,52.77,144.42
924,19.12,1006.63,282,53.16,145.39
926,19.1,1006.63,292,50.34,138.34
929,19.08,1006.65,295,47.05,130.12
931,19.06,1006.67,285,50.98,139.95
933,19.06,1006.63,278,49.64,136.61
935,19.06,1006.67,283,48.1,132.74
937,19.05,1006.59,294,55.85,150.45
939,19.05,1006.63,308,47.95,132.38
941,19.12,1006.59,338,57.51,151.32
943,19.22,1006.6,326,54.36,148.41
945,19.33,1006.62,325,48.97,134.91
947,19.44,1006.61,322,53.46,146.16
950,19.56,1006.59,315,51.03,140.07
952,19.65,1006.59,304,50.53,138.82
954,19.76,1006.63,295,54.77,149.42
956,19.85,1006.63,289,50.66,139.14
958,19.94,1006.58,286,54.3,148.25
960,20.04,1006.59,307,54.41,148.53
962,20.12,1006.61,272,50.92,139.79
964,20.21,1006.58,272,50.25,138.14
966,20.28,1006.63,265,54.4,148.49
968,20.36,1006.6,261,52.41,143.54
971,20.43,1006.61,268,52.99,144.99
973,20.5,1006.62,256,53.8,147
975,20.56,1006.64,258,54.54,148.86
977,20.62,1006.61,253,55.9,150.47
979,20.67,1006.61,257,51.25,140.64
981,20.74,1006.66,249,55.41,150.22
983,20.8,1006.65,242,53.72,146.8
985,20.86,1006.62,246,50.75,139.39
987,20.92,1006.63,250,52.11,142.77
989,20.97,1006.64,240,47.5,131.25
992,21.02,1006.64,233,50.29,138.22
994,21.07,1006.63,236,52.09,142.73
996,21.12,1006.62,234,52.03,142.57
998,21.17,1006.61,240,55.77,150.4
1000,21.22,1006.65,243,53.59,146.48
1002,21.27,1006.67,240,55.86,150.45
1004,21.32,1006.64,234,58.33,151.75
1006,21.38,1006.69,233,58.06,151.61
1008,21.43,1006.64,235,53.14,145.35
1010,21.5,1006.66,233,58.46,151.82
1013,21.55,1006.62,231,53.8,147
1015,21.6,1006.61,230,50.19,137.98
1017,21.65,1006.64,229,52.79,144.46
1019,21.7,1006.66,206,54.4,148.49
1021,21.74,1006.64,222,56.27,150.67
1023,21.8,1006.63,235,51.09,140.23
1025,21.83,1006.65,221,53.49,146.24
1027,21.88,1006.64,234,56.33,150.7
1029,21.92,1006.64,219,51.64,141.6
1032,21.96,1006.63,227,56.28,150.68
1034,22,1006.66,236,55.15,150.08
1036,22.04,1006.65,224,58.3,151.74
1038,22.09,1006.67,228,56.48,150.78
1040,22.13,1006.66,224,52.46,143.66
1042,22.16,1006.67,223,50.5,138.74
1044,22.2,1006.62,228,56.81,150.96
1046,22.23,1006.66,229,56.51,150.79
1048,22.28,1006.68,234,56.81,150.96
